query_0	Who likes Butter?
query_1	Who likes Mirrors?
query_2	Who likes Komodo Dragons?
query_3	Who likes Riddles?
query_4	Who likes Hammers?
query_5	Who likes Rain?
query_6	Who likes Pop Art?
query_7	Who likes Streaming?
query_8	Who likes Purpose?
query_9	Who likes Jasper?
query_10	Who likes Serendipity?
query_11	Who likes Shasta Daisies?
query_12	Who likes Herbes de Provence?
query_13	Who likes Chili?
query_14	Who likes Lychees?
query_15	Who likes Pipefish?
query_16	Who likes Funnel Cakes?
query_17	Who likes Ramen?
query_18	Who likes Sea Bass?
query_19	Who likes Sweet Onions?
query_20	Who likes Etching?
query_21	Who likes Mascarpone?
query_22	Who likes Eyeglasses?
query_23	Who likes Lard?
query_24	Who likes Baobab Trees?
query_25	Who likes Camembert?
query_26	Who likes Empathy?
query_27	Who likes Swans?
query_28	Who likes Snake Plants?
query_29	Who likes Cauliflower?
query_30	Who likes Backpacking?
query_31	Who likes Challah?
query_32	Who likes Mules?
query_33	Who likes Animal Crackers?
query_34	Who likes Rhinoceroses?
query_35	Who likes the Cleveland Browns?
query_36	Who likes Western Calligraphy?
query_37	Who likes Socks?
query_38	Who likes Skunks?
query_39	Who likes Sandbox Video Games?
query_40	Who likes Pop Music?
query_41	Who likes Archaeology?
query_42	Who likes Glistening Dewdrops?
query_43	Who likes Geography?
query_44	Who likes Clothing Irons?
query_45	Who likes Escape Rooms?
query_46	Who likes R&B Music?
query_47	Who likes The Sound of Crickets Chirping?
query_48	Who likes Chicken Salads?
query_49	Who likes Black Pepper?
query_50	Who likes Nutter Butters?
query_51	Who likes Green Tea?
query_52	Who likes Video game music?
query_53	Who likes Boxing?
query_54	Who likes Mosaic?
query_55	Who likes Romaine Lettuce?
query_56	Who likes Grasshoppers?
query_57	Who likes Forgiveness?
query_58	Who likes Pavements Ants?
query_59	Who likes Raccoons?
query_60	Who likes Black Scoters?
query_61	Who likes Halibut?
query_62	Who likes The Progressive Era?
query_63	Who likes Vlogging?
query_64	Who likes The Belle Epoque?
query_65	Who likes Barley?
query_66	Who likes Mashed Potatoes?
query_67	Who likes Screenwriting?
query_68	Who likes Longboarding?
query_69	Who likes Key Lime Pies?
query_70	Who likes Saxophones?
query_71	Who likes Family Movies?
query_72	Who likes Symphonies?
query_73	Who likes Battleship?
query_74	Who likes Star Fruits?
query_75	Who likes Eagles?
query_76	Who likes Trowels?
query_77	Who likes Nougat?
query_78	Who likes Pointillism?
query_79	Who likes The Smell of Rain?
query_80	Who likes Kindness?
query_81	Who likes Pulsars?
query_82	Who likes the New York Yankees?
query_83	Who likes the Philadelphia Phillies?
query_84	Who likes Contentment?
query_85	Who likes Potato Salads?
query_86	Who likes Collage?
query_87	Who likes Bookshelves?
query_88	Who likes Sugar Cookies?
query_89	Who likes Soba Noodles?
query_90	Who likes Renaissance Art?
query_91	Who likes Déjà vu?
query_92	Who likes Social Work?
query_93	Who likes Steel?
query_94	Who likes Giraffes?
query_95	Who likes Portrait Photography?
query_96	Who likes Connect Four?
query_97	Who likes Bath Mats?
query_98	Who likes Salamanders?
query_99	Who likes Eggplants?
query_100	Who likes Card Making?
query_101	Who likes Volunteering?
query_102	Who likes Meteors?
query_103	Who likes Tortoises?
query_104	Who likes Curling?
query_105	Who likes Desks?
query_106	Who likes Telestrations?
query_107	Who likes Mangrove Forests?
query_108	Who likes Education?
query_109	Who likes Hippopotamuses?
query_110	Who likes Volcanoes?
query_111	Who likes Malachite?
query_112	Who likes Ukuleles?
query_113	Who likes Levels?
query_114	Who likes Coconut Milk?
query_115	Who likes Electrical Engineering?
query_116	Who likes Gothic Art?
query_117	Who likes Baguettes?
query_118	Who likes Wardrobes?
