query_0	Who likes Birch Trees?
query_1	Who likes Levels?
query_2	Who likes Stand-up Comedy?
query_3	Who likes Holland Lops?
query_4	Who likes Alligators?
query_5	Who likes Bammy?
query_6	Who likes The Sound of Wind in the Trees?
query_7	Who likes Urban Exploration?
query_8	Who likes Philosophy?
query_9	Who likes Alfajores?
query_10	Who likes Blueberries?
query_11	Who likes The Gilded Age?
query_12	Who likes Orchids?
query_13	Who likes Eggplants?
query_14	Who likes the Texas Rangers?
query_15	Who likes Cribbage?
query_16	Who likes Quinoa?
query_17	Who likes Environmental Engineering?
query_18	Who likes Lotteries?
query_19	Who likes Pavements Ants?
query_20	Who likes Cod?
query_21	Who likes Rainbows?
query_22	Who likes Butchers?
query_23	Who likes Eggnog?
query_24	Who likes Wallets?
query_25	Who likes Dryers?
query_26	Who likes Risk?
query_27	Who likes Bagels?
query_28	Who likes Grey Parrots?
query_29	Who likes Cola Soda?
query_30	Who likes Paneer?
query_31	Who likes Hot Chocolate?
query_32	Who likes Armadillos?
query_33	Who likes Juggling?
query_34	Who likes Florists?
query_35	Who likes The Industrial Revolution?
query_36	Who likes Pumpkin Seeds?
query_37	Who likes Rats?
query_38	Who likes Green Peppercorns?
query_39	Who likes Scuba Diving?
query_40	Who likes Caramel Candies?
query_41	Who likes Peonies?
query_42	Who likes Markhors?
query_43	Who likes Pulled Pork?
query_44	Who likes Apple Juice?
query_45	Who likes Woodpeckers?
query_46	Who likes Game Design?
query_47	Who likes Black Tea?
query_48	Who likes Chili?
query_49	Who likes Archery?
query_50	Who likes Mountain Biking?
query_51	Who likes Sage?
query_52	Who likes Upside-Down Cakes?
query_53	Who likes Pad Thai?
query_54	Who likes Swamps?
query_55	Who likes Toads?
query_56	Who likes Solitaire?
query_57	Who likes Coleslaw?
query_58	Who likes Moon Pies?
query_59	Who likes Pecan Pies?
query_60	Who likes Wardrobes?
query_61	Who likes Love?
query_62	Who likes Duct Tape?
query_63	Who likes Turkish Delight?
query_64	Who likes Apple Cider?
query_65	Who likes Egg Noodles?
query_66	Who likes Barnacles?
query_67	Who likes Hematite?
query_68	Who likes Bow Ties?
query_69	Who likes White-tailed Deer?
query_70	Who likes Yeast?
query_71	Who likes Leaf Blowers?
query_72	Who likes the San Diego Padres?
query_73	Who likes White Rice?
query_74	Who likes Video game music?
query_75	Who likes Komodo Dragons?
query_76	Who likes Puzzle Video Games?
query_77	Who likes The Progressive Era?
query_78	Who likes Backgammon?
query_79	Who likes Fire Extinguishers?
query_80	Who likes Kiwis?
query_81	Who likes Adventure Video Games?
query_82	Who likes Legacy?
query_83	Who likes Fossils?
query_84	Who likes the Chicago Cubs?
query_85	Who likes Cloves?
query_86	Who likes Welders?
query_87	Who likes Sugar Gliders?
query_88	Who likes Bath Mats?
query_89	Who likes Luna Moths?
query_90	Who likes Necklaces?
query_91	Who likes Tundra?
query_92	Who likes Sports Video Games?
query_93	Who likes Newts?
query_94	Who likes Clafoutis?
query_95	Who likes the Cincinnati Reds?
query_96	Who likes Track Cycling?
query_97	Who likes Yoga?
query_98	Who likes Daffodils?
query_99	Who likes Ice Cream Sundaes?
query_100	Who likes Belts?
query_101	Who likes the Colorado Rockies?
query_102	Who likes Digital Art?
query_103	Who likes Action Movies?
query_104	Who likes Sculpting?
query_105	Who likes Indie Music?
query_106	Who likes Safety Goggles?
